Column1,player,position,foot,league,Squad_Rnk,nationality,value,age,height,pens_made,pens_att,cards_yellow,cards_red,minutes_90s,npxg_per_shot,npxg_net,assisted_shots,crosses_into_penalty_area,through_balls,crosses,throw_ins,sca,sca_dribbles,sca_shots,sca_fouled,gca_shots,gca_fouled,gca_og_for,fouls,fouled,offsides,interceptions,clearances,errors,carry_progressive_distance,own_goals,pens_won,pens_conceded,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,shots_total_per90,shots_on_target_per90,sca_per90,gca_per90,aerials_won,aerials_lost,aerials_won_pct,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_long,passes_long,passes_pct_long,passes_into_final_third,passes_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,passes_pressure,passes_switches,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca_passes_live,sca_passes_dead,gca_passes_live,gca_passes_dead,blocked_passes,passes_received,passes_received_pct,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribble_tackles_pct,gca_dribbles,dribbles_vs,dribbled_past,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,jerarquico,aglo,dbs
1388,Pierre Lees-Melou,3,1,1,5,1,8000000,26,185,0,0,5,0,25.0,0.07,1.5,34,6,4,32,15,61,6,5,2,1,0,0,38,33,1,30,37,1,3633,0,0,0,0.2,0.24,0.44,0.2,0.44,0.14,0.17,0.31,0.14,0.31,2.12,0.84,2.44,0.32,14,13,51.9,1025,1224,83.7,19333,5101,432,480,90.0,138,201,68.7,113,25,122,1171,53,31,239,46,871,178,175,209,964,23,7,2,28,12,33,47,1,7,0,38,1098,86.7,7,3,4,0,69,43,38,21,10,28,30.1,0,93,65,30,40,75.0,31,606,155,25.6,218,267,121,52,14,0,1565,81,423,788,480,55,1517,2,1,0
696,Papakouli Diop,3,1,3,14,0,800,33,180,0,0,7,0,25.0,0.04,-0.1,14,0,1,5,1,32,0,1,1,0,0,0,53,34,1,20,50,1,884,0,0,0,0.04,0.0,0.04,0.04,0.04,0.05,0.02,0.06,0.05,0.06,1.04,0.28,1.28,0.08,61,35,63.5,593,806,73.6,12207,3138,211,272,77.6,104,166,62.7,83,4,86,790,16,15,153,28,428,117,261,66,580,107,5,4,29,14,20,25,0,1,0,29,531,87.8,0,0,0,0,43,27,10,27,6,15,34.1,0,44,29,6,10,60.0,8,414,113,27.3,92,254,68,37,8,0,1049,50,165,728,198,24,1036,2,1,0
1399,ClĂ©ment Lenglet,1,3,3,2,0,48000000,24,186,0,0,11,2,26.9,0.09,1.1,5,0,3,0,7,14,0,0,0,0,0,0,32,25,2,15,112,1,6000,0,0,1,0.07,0.04,0.11,0.07,0.11,0.03,0.02,0.05,0.03,0.05,0.37,0.11,0.52,0.11,65,32,67.0,1989,2147,92.6,41975,13188,603,631,95.6,332,398,83.4,165,2,104,2085,62,50,220,59,1768,182,197,1756,280,67,7,4,15,15,13,14,0,3,0,25,1834,98.7,0,0,0,0,50,38,32,16,2,12,41.4,0,29,17,5,9,55.6,5,282,122,43.3,145,128,9,44,19,1,2375,325,1096,1390,51,12,2322,2,1,0
362,Gleison Bremer,1,1,5,16,0,5000000,22,188,0,0,6,2,25.2,0.12,1.7,3,0,0,0,5,14,0,0,2,0,0,0,33,20,2,51,149,0,2893,0,0,2,0.12,0.04,0.16,0.12,0.16,0.05,0.01,0.06,0.05,0.06,0.44,0.24,0.56,0.0,70,48,59.3,921,1125,81.9,19770,5946,277,317,87.4,157,246,63.8,35,4,50,1088,37,31,165,52,804,113,208,267,772,47,5,0,28,17,19,12,0,0,0,44,834,97.9,1,0,0,0,71,40,41,26,4,22,66.7,0,33,11,14,18,77.8,15,430,134,31.2,259,149,22,68,24,0,1482,197,839,670,65,21,1449,2,1,-1
2235,Alex Sandro,1,3,5,1,0,35000000,28,181,0,0,4,0,26.5,0.04,0.3,34,16,3,52,216,71,2,1,5,1,0,0,42,45,0,33,57,2,5297,0,1,1,0.04,0.11,0.15,0.04,0.15,0.03,0.09,0.12,0.03,0.12,0.64,0.19,2.68,0.23,34,27,55.7,1699,1973,86.1,30906,10544,710,762,93.2,179,279,64.2,112,47,149,1736,237,20,229,43,1310,391,272,1554,115,57,12,11,22,27,43,58,4,5,0,43,1553,95.5,1,1,0,0,42,25,22,13,7,12,35.3,0,34,22,30,46,65.2,32,297,84,28.3,117,121,59,49,6,1,2244,97,573,1192,662,31,2021,2,1,-1
2644,Joel Ward,1,1,3,14,1,3200000,29,186,0,0,4,0,26.5,0.07,-0.3,5,7,0,33,267,9,0,0,0,0,0,1,24,29,0,24,106,1,2005,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,0.19,0.04,0.34,0.08,52,26,66.7,932,1260,74.0,15593,7042,489,548,89.2,96,212,45.3,71,15,80,979,281,14,217,19,608,328,324,92,793,72,10,5,37,29,53,8,0,1,0,42,744,93.1,0,0,0,0,67,31,44,18,5,28,51.9,0,54,26,13,19,68.4,14,318,84,26.4,200,85,33,46,4,1,1544,119,522,762,334,11,1268,2,1,-1
1411,Jamal Lewis,1,3,3,20,0,11000000,21,178,0,0,4,0,25.6,0.04,0.6,15,8,1,35,242,32,3,0,1,0,0,0,15,23,2,20,68,1,4282,0,0,0,0.04,0.0,0.04,0.04,0.04,0.01,0.04,0.05,0.01,0.05,0.35,0.16,1.25,0.04,12,25,32.4,1036,1306,79.3,17191,6342,536,597,89.8,67,137,48.9,42,20,83,1050,256,14,214,19,766,325,215,901,128,26,1,3,22,30,53,26,2,1,0,43,925,89.7,0,0,0,0,56,31,45,6,5,18,40.9,0,44,26,37,62,59.7,39,370,112,30.3,232,97,41,55,12,0,1599,123,663,679,393,23,1352,2,1,0
2045,Čtefan Radu,1,3,5,4,0,4000000,32,183,0,0,8,0,25.6,0.04,0.8,13,7,0,30,21,22,0,0,0,0,0,0,31,21,0,18,115,0,4049,0,0,1,0.04,0.0,0.04,0.04,0.04,0.01,0.03,0.04,0.01,0.04,0.2,0.04,0.86,0.0,33,28,54.1,1197,1371,87.3,23176,8477,495,524,94.5,175,247,70.9,112,14,110,1309,62,40,150,53,1006,158,207,1104,172,56,2,2,13,12,18,20,0,0,0,21,1070,98.3,0,0,0,0,51,28,32,16,3,28,54.9,0,51,23,15,19,78.9,16,256,92,35.9,160,80,16,30,9,0,1597,165,655,851,236,6,1543,2,1,0
2010,Stefan Posch,1,1,5,6,0,11000000,22,188,0,0,9,0,25.6,0.08,-2.0,5,1,0,7,107,24,2,4,2,1,0,0,40,21,0,28,133,0,3303,0,0,2,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.11,0.08,0.11,0.94,0.23,0.94,0.12,58,47,55.2,1211,1480,81.8,24700,8738,379,418,90.7,172,290,59.3,77,9,87,1336,144,37,235,31,966,168,346,147,1130,62,4,2,24,12,30,15,0,2,0,56,1123,97.1,0,0,0,0,84,42,51,28,5,34,52.3,0,65,31,10,14,71.4,11,342,106,31.0,211,106,25,82,26,0,1857,204,903,904,180,29,1715,2,1,0
1312,Jules KoundĂ©,1,1,3,4,0,22000000,20,178,0,0,6,0,25.7,0.08,-0.9,3,2,0,9,41,14,2,1,0,1,0,0,21,11,0,12,146,2,3097,0,0,1,0.04,0.04,0.08,0.04,0.08,0.07,0.02,0.09,0.07,0.09,0.86,0.19,0.55,0.12,105,36,74.5,1285,1489,86.3,26940,8416,377,410,92.0,214,309,69.3,72,2,70,1416,73,32,178,26,1070,188,231,147,1177,73,4,2,32,11,22,10,1,2,0,13,1200,97.9,0,0,0,0,24,17,16,5,3,11,57.9,0,19,8,19,23,82.6,21,187,79,42.2,87,83,17,28,15,2,1745,201,869,869,109,38,1672,2,1,0
36,Manuel Akanji,1,1,5,2,0,20000000,24,187,0,0,2,0,25.7,0.08,-0.8,3,0,2,0,33,10,0,0,0,0,0,0,11,23,0,18,85,3,4667,1,0,0,0.0,0.04,0.04,0.0,0.04,0.03,0.03,0.06,0.03,0.06,0.39,0.08,0.39,0.12,41,31,56.9,1767,1929,91.6,36920,11998,532,563,94.5,249,324,76.9,103,2,85,1857,72,39,229,46,1586,174,169,448,1357,66,2,2,27,10,18,9,1,3,0,24,1657,98.5,0,0,0,0,44,23,29,13,2,17,56.7,0,30,13,8,12,66.7,9,223,86,38.6,129,83,11,35,11,0,2161,235,1146,1087,82,15,2093,2,1,0
2722,Kurt Zouma,1,1,3,4,0,28000000,24,190,0,0,6,0,26.0,0.05,-0.8,1,0,0,0,5,14,0,1,1,0,0,0,30,14,1,26,181,3,4312,1,0,1,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,0.58,0.19,0.54,0.0,99,30,76.7,1772,1982,89.4,41235,10428,415,449,92.4,382,477,80.1,108,2,82,1952,30,25,212,90,1553,139,290,353,1513,66,2,3,31,13,13,12,0,0,0,18,1674,98.6,0,0,0,0,33,17,25,8,0,3,37.5,0,8,5,8,12,66.7,9,177,55,31.1,102,73,2,34,16,0,2291,265,1222,1160,50,20,2263,2,1,0
170,Ridle Baku,1,1,5,13,1,5000000,21,176,0,0,5,1,26.1,0.05,-0.1,25,17,1,68,153,65,3,2,6,0,0,0,33,41,2,36,65,0,3051,0,0,0,0.04,0.11,0.15,0.04,0.15,0.04,0.12,0.16,0.04,0.16,0.84,0.23,2.49,0.38,23,37,38.3,830,1158,71.7,16301,5889,340,408,83.3,137,236,58.1,63,38,103,983,175,22,211,38,622,228,308,146,795,47,3,7,25,18,42,51,3,9,1,65,815,89.0,0,0,0,0,56,35,27,23,6,20,36.4,0,55,35,31,63,49.2,38,519,147,28.3,201,236,82,73,8,0,1524,76,444,739,458,25,1356,2,1,0
2478,Romain Thomas,1,1,1,11,1,2000000,31,193,0,0,4,0,26.0,0.07,0.4,4,0,0,1,2,9,0,0,0,0,0,0,21,19,1,33,179,1,1704,0,0,1,0.04,0.08,0.12,0.04,0.12,0.02,0.01,0.03,0.02,0.03,0.31,0.08,0.35,0.08,74,51,59.2,992,1136,87.3,24258,8665,229,244,93.9,277,365,75.9,47,1,44,1082,54,52,115,51,781,118,237,926,120,65,0,3,20,6,7,9,0,2,0,33,854,96.1,0,0,0,0,29,23,17,12,0,8,26.7,0,30,22,3,3,100.0,3,227,90,39.6,164,59,4,53,20,1,1425,219,868,609,26,18,1375,2,1,0
2122,Sergi Roberto,1,1,3,2,1,40000000,27,178,0,0,8,0,26.0,0.09,0.2,27,4,11,33,106,52,1,0,2,0,0,0,18,39,2,19,46,1,5414,0,0,0,0.04,0.08,0.12,0.04,0.12,0.03,0.09,0.12,0.03,0.12,0.35,0.12,2.0,0.35,22,24,47.8,1964,2132,92.1,30592,7155,1051,1108,94.9,105,131,80.2,128,40,120,2001,131,22,280,18,1711,267,154,284,1670,56,2,5,8,27,29,49,0,9,0,29,1865,93.4,3,0,0,0,27,19,13,9,5,9,37.5,0,24,15,14,25,56.0,16,237,70,29.5,61,111,65,33,4,1,2359,69,467,1319,751,62,2232,2,1,0
2145,Marko Rog,3,1,5,14,0,13000000,24,180,0,0,10,0,25.7,0.07,-1.0,28,3,2,16,5,70,6,5,6,2,0,0,60,43,0,29,11,0,4540,0,0,1,0.04,0.04,0.08,0.04,0.08,0.08,0.07,0.14,0.08,0.14,1.17,0.31,2.72,0.31,21,16,56.8,1007,1178,85.5,17421,4198,482,523,92.2,93,137,67.9,88,10,90,1107,71,42,218,34,858,175,145,86,1029,40,2,5,13,15,31,46,6,6,0,39,968,90.6,24,8,10,4,86,62,41,35,10,21,25.9,0,81,60,59,78,75.6,62,633,186,29.4,246,290,97,54,15,0,1488,43,355,887,405,32,1426,2,1,0
2469,Alexander Tettey,3,1,3,20,0,1000000,33,181,0,0,5,0,26.0,0.04,0.2,5,0,1,1,1,18,0,2,0,0,0,0,21,7,0,26,85,0,2235,0,0,0,0.04,0.04,0.08,0.04,0.08,0.03,0.03,0.06,0.03,0.06,0.89,0.12,0.69,0.04,37,23,61.7,1100,1242,88.6,19202,4074,532,573,92.8,108,144,75.0,54,4,44,1229,13,11,280,19,968,143,131,163,963,79,9,0,12,11,13,16,0,1,0,25,948,96.4,1,0,0,0,31,20,11,18,2,12,27.9,0,43,31,16,24,66.7,19,384,98,25.5,185,177,22,40,15,0,1494,129,564,838,177,12,1482,2,1,0
2240,Oier Sanjurjo,3,1,3,10,1,800,33,178,0,0,15,1,25.8,0.12,0.0,15,3,1,14,3,36,0,0,3,0,0,0,41,41,2,17,71,1,1507,0,0,0,0.08,0.04,0.12,0.08,0.12,0.08,0.04,0.12,0.08,0.12,0.66,0.19,1.4,0.08,71,62,53.4,734,1009,72.7,13914,4352,300,373,80.4,108,178,60.7,92,9,101,993,16,13,227,23,474,248,287,134,714,97,8,5,23,10,31,32,0,2,0,42,593,89.8,0,0,0,0,69,41,31,30,8,24,42.9,0,56,32,7,11,63.6,7,510,164,32.2,138,304,68,50,8,0,1280,63,288,821,217,31,1267,2,1,0
888,Remo Freuler,3,1,5,3,0,20000000,27,180,0,0,3,0,26.0,0.11,0.1,27,2,4,25,21,65,3,2,2,1,0,0,40,35,0,21,37,0,4055,0,0,0,0.08,0.08,0.15,0.08,0.15,0.07,0.1,0.18,0.07,0.18,0.73,0.27,2.5,0.27,14,23,37.8,1465,1666,87.9,24942,6336,659,712,92.6,105,153,68.6,128,28,136,1568,98,74,201,24,1360,158,148,289,1295,45,4,0,20,20,32,54,3,5,0,54,1353,94.0,3,0,0,0,63,48,30,26,7,21,25.9,1,81,60,21,37,56.8,25,590,193,32.7,171,306,113,60,6,0,1941,54,367,1167,555,47,1849,2,1,0
